Ensembl_id,HGNC_symbol,T-statistic,P-value,Adjusted P-value
ENSG00000162692,VCAM1,13.623402100061877,6.91895985299308e-33,2.216834736898983e-28
ENSG00000179593,ALOX15B,-13.472754376528323,7.848466684903592e-32,1.2573243629215554e-27
ENSG00000168907,PLA2G4F,-13.148492172557184,4.570501948922998e-31,4.881296081449761e-27
ENSG00000091972,CD200,13.082634662976226,1.5562216133408578e-30,1.2465335122860272e-26
ENSG00000163492,CCDC141,-12.921164027841916,4.061036408844552e-30,2.602312130787589e-26
ENSG00000173930,SLCO4C1,-12.792639025857634,9.664952297585486e-30,5.161084526910649e-26
ENSG00000157214,STEAP2,12.95177710188633,1.5502947880183954e-29,7.095920715444198e-26
ENSG00000131781,FMO5,-12.813661222157227,1.87349017455188e-29,7.50332814908028e-26
ENSG00000151789,ZNF385D,12.769199813978856,2.201303230536353e-29,7.525122985330106e-26
ENSG00000188959,C9orf152,-12.669553167671552,2.348665101538735e-29,7.525122985330106e-26
ENSG00000226015,CCT8P1,-12.605606808843579,9.133850850236865e-29,2.6604416476508106e-25
ENSG00000096088,PGC,-12.28355265398518,4.390499037583801e-28,1.1722632430348749e-24
ENSG00000138685,FGF2,12.276215325680143,7.864289230562368e-28,1.93824482267091e-24
ENSG00000165617,DACT1,12.509612317465983,8.563355022438154e-28,1.9597849637065605e-24
ENSG00000168481,LGI3,-12.1997268373786,9.448585133661238e-28,2.0182177845500404e-24
ENSG00000124134,KCNS1,-12.090602043152549,2.4016887097817973e-27,4.809381641338049e-24
ENSG00000177453,NIM1K,-12.021022046753101,3.353039860531612e-27,6.319493948907815e-24
ENSG00000058335,RASGRF1,-11.9899256895154,5.938114826064699e-27,1.0569844390395163e-23
ENSG00000134020,PEBP4,-12.012770622685595,7.717041714600707e-27,1.3013369291358246e-23
ENSG00000086289,EPDR1,-11.89746043285588,9.074453892441742e-27,1.453727513569167e-23
ENSG00000019991,HGF,11.955095717706431,1.6722412849563577e-26,2.5513624176191284e-23
ENSG00000099625,CBARP,11.846051042703458,1.895301698810298e-26,2.7602484740855434e-23
ENSG00000214548,MEG3,11.751251477743045,2.9272853761243854e-26,3.9079259771260544e-23
ENSG00000119699,TGFB3,11.825859552380505,2.8666813161642386e-26,3.9079259771260544e-23
ENSG00000047936,ROS1,-11.711704048868295,6.922049130693853e-26,8.871298165897243e-23
ENSG00000164949,GEM,11.78349058869234,8.086708383255924e-26,9.965312946135377e-23
ENSG00000167157,PRRX2,11.92248328060044,1.4682548475767173e-25,1.7423290857910378e-22
ENSG00000140285,FGF7,11.592314996847426,2.0610644037752818e-25,2.3584465534628582e-22
ENSG00000168631,MUCL3,-11.540146767829194,2.252291879702067e-25,2.4883942008846284e-22
ENSG00000101134,DOK5,11.485626887560425,3.101156594998136e-25,3.3120352434580093e-22
ENSG00000139926,FRMD6,11.747440185966441,3.2394404453492626e-25,3.348118447386786e-22
ENSG00000203814,H2BC18,11.455370122158666,3.3938859766946745e-25,3.398128334165543e-22
ENSG00000206043,C18orf63,-11.374810178903799,6.638157343972287e-25,6.445047312147639e-22
ENSG00000144285,SCN1A,-11.404577660145359,7.338925974912363e-25,6.915858477535062e-22
ENSG00000078269,SYNJ2,11.498499008220094,8.921020893739657e-25,8.166557412440531e-22
ENSG00000160285,LSS,-11.301298779815657,1.476429221354491e-24,1.3140220070054968e-21
ENSG00000147138,GPR174,11.300385093691121,1.7620222213047545e-24,1.5258159992055227e-21
ENSG00000261634,PAQR5-DT,-11.300895605256878,1.8165133551397433e-24,1.5316075762809836e-21
ENSG00000197380,DACT3,11.4969157787875,2.0085505130127047e-24,1.6501014983827452e-21
ENSG00000078081,LAMP3,-11.171332400370167,2.8478092517766897e-24,2.2810952106731285e-21
ENSG00000234511,C5orf58,11.234523084853185,3.1961719962775727e-24,2.4976914819691078e-21
ENSG00000146477,SLC22A3,-11.13801345335273,3.8726039875778834e-24,2.9542436133808424e-21
ENSG00000181577,LINC03040,-11.120769626865503,4.366926166773796e-24,3.253867776358894e-21
ENSG00000138308,PLA2G12B,-11.24135926821047,4.677170000808253e-24,3.40583015513401e-21
ENSG00000137571,SLCO5A1,11.10297044475652,8.117251892912605e-24,5.7794833477537755e-21
ENSG00000168703,WFDC12,-11.192009991224017,8.542675527787045e-24,5.950159215441238e-21
ENSG00000164161,HHIP,-11.027960567043465,8.95493698309734e-24,6.104599594434868e-21
ENSG00000085831,TTC39A,-11.036162853094211,9.814081260124302e-24,6.5508992411329715e-21
ENSG00000184454,NCMAP,-10.956038916030709,1.6251148049473632e-23,1.06262608878599e-20
ENSG00000115112,TFCP2L1,-10.975190358768629,1.800345515400695e-23,1.1414880228279039e-20
ENSG00000095713,CRTAC1,-10.936946065678667,1.8169753172354275e-23,1.1414880228279039e-20
ENSG00000105792,CFAP69,11.001136103426246,2.175376282618027e-23,1.3403664633669536e-20
ENSG00000158373,H2BC5,10.894788870868604,2.742542621625435e-23,1.5976557381250715e-20
ENSG00000150893,FREM2,-10.8824665068653,2.7255356454491644e-23,1.5976557381250715e-20
ENSG00000167972,ABCA3,-10.929789965443913,2.7088290438682595e-23,1.5976557381250715e-20
ENSG00000160013,PTGIR,10.974577676667879,2.819333489510901e-23,1.6130615179273082e-20
ENSG00000122852,SFTPA1,-10.831351627161839,4.0172144441201355e-23,2.2580973822738447e-20
ENSG00000184845,DRD1,10.81245650981095,4.9056892963028006e-23,2.709970431957616e-20
ENSG00000185303,SFTPA2,-10.77507271259891,6.192101337753206e-23,3.3626258790103854e-20
ENSG00000080618,CPB2,-10.729996997917818,8.768154539633558e-23,4.68219452416432e-20
ENSG00000265489,ARHGAP44-AS1,10.747867969251697,1.0496764595146928e-22,5.513382584073894e-20
ENSG00000224821,COL4A2-AS2,10.764839362816485,1.2981740810322678e-22,6.708628638108687e-20
ENSG00000135245,HILPDA,10.673633177051768,1.5211192726750222e-22,7.735978015318684e-20
ENSG00000182158,CREB3L2,10.660034753024952,1.583773524575388e-22,7.928766207405537e-20
ENSG00000159387,IRX6,-10.66575351661986,1.6236962494890712e-22,8.003573512866129e-20
ENSG00000198155,ZNF876P,10.799975016649185,2.1591815039724114e-22,1.0325399311533742e-19
ENSG00000100078,PLA2G3,-10.684812672358238,2.141959006372099e-22,1.0325399311533742e-19
ENSG00000014257,ACP3,-10.59686079871108,2.7621110959619155e-22,1.3014417575679377e-19
ENSG00000165868,HSPA12A,10.89645442910807,2.8744808601211026e-22,1.334758938525799e-19
ENSG00000196935,SRGAP1,10.641829643683703,3.035151306875599e-22,1.3892321124613454e-19
ENSG00000235531,MSC-AS1,10.769632356025488,3.7401727688671825e-22,1.687818810063444e-19
ENSG00000152128,TMEM163,-10.526969952155063,4.327974966636257e-22,1.9259488601531343e-19
ENSG00000267272,LINC01140,10.749776450501816,5.742040980046869e-22,2.520205383571256e-19
ENSG00000140511,HAPLN3,10.631214247644206,6.600883482535602e-22,2.858004145681631e-19
