Ensembl_id,HGNC_symbol,T-statistic,P-value,Adjusted P-value
ENSG00000170624,SGCD,13.730762504309162,9.888085867204855e-37,3.3900313587125124e-32
ENSG00000185532,PRKG1,13.545082039759672,6.574516613422655e-36,7.513357585819411e-32
ENSG00000120820,GLT8D2,13.589428114745905,5.786436932779872e-36,7.513357585819411e-32
ENSG00000011465,DCN,13.505602991301894,9.630616443511992e-36,8.254401353734128e-32
ENSG00000067798,NAV3,13.455831107463156,1.6114060464628289e-35,1.1049088979386325e-31
ENSG00000140937,CDH11,13.248622906065084,1.5119130178417176e-34,8.639070983947575e-31
ENSG00000174099,MSRB3,13.033401072967262,1.0274252491529241e-33,5.0320353202798355e-30
ENSG00000116132,PRRX1,12.864418734168897,5.5366927526324736e-33,2.3727496791406465e-29
ENSG00000119865,CNRIP1,12.811437437461453,8.964712595948867e-33,3.4149578515501215e-29
ENSG00000169946,ZFPM2,12.701581089209373,2.628893405555183e-32,9.01289815160539e-29
ENSG00000164484,TMEM200A,12.599958823827718,7.005906275429374e-32,2.1305661141374403e-28
ENSG00000151617,EDNRA,12.600778246946824,7.457354267194401e-32,2.1305661141374403e-28
ENSG00000065534,MYLK,12.528963432728391,1.4617556377276168e-31,3.854986944911816e-28
ENSG00000148516,ZEB1,12.440438868779701,3.2814566973381845e-31,8.035818672253023e-28
ENSG00000123096,SSPN,12.399153405242153,5.494968222851823e-31,1.2238946989202993e-27
ENSG00000183801,OLFML1,12.384726406033126,5.71179418467063e-31,1.2238946989202993e-27
ENSG00000134853,PDGFRA,12.287542512485302,1.4419199538120529e-30,2.9079284527348485e-27
ENSG00000122786,CALD1,12.26456376017837,1.8429175962044772e-30,3.510143714904128e-27
ENSG00000139329,LUM,12.189178370090197,3.7389108429822425e-30,6.746569438989642e-27
ENSG00000166147,FBN1,12.13328124988013,6.218861129505608e-30,9.493738533551453e-27
ENSG00000111145,ELK3,12.152542533425649,6.102859883789464e-30,9.493738533551453e-27
ENSG00000173068,BNC2,12.148635998549066,5.855270382612876e-30,9.493738533551453e-27
ENSG00000129116,PALLD,12.144871803470355,6.369034717993333e-30,9.493738533551453e-27
ENSG00000140285,FGF7,12.113269544741556,7.442098360377742e-30,1.0631037507799606e-26
ENSG00000058091,CDK14,12.141050650711893,8.692918733907157e-30,1.192112103493092e-26
ENSG00000235531,MSC-AS1,12.08429985208555,1.021599410579296e-29,1.3470966997038687e-26
ENSG00000164176,EDIL3,11.982566868729462,2.5446647091966044e-29,3.2311586996331995e-26
