Ensembl_id,HGNC_symbol,T-statistic,P-value,Adjusted P-value
ENSG00000165617,DACT1,8.387929114893641,3.611255390846043e-14,3.652905203020467e-10
ENSG00000106991,ENG,8.423108872425733,2.980387662011346e-14,3.652905203020467e-10
ENSG00000108557,RAI1,8.424874150938733,2.4392310707758638e-14,3.652905203020467e-10
ENSG00000085733,CTTN,8.222805462307875,6.59112405174929e-14,5.0003562618596e-10
ENSG00000162687,KCNT2,8.133503144137133,9.998331822508786e-14,6.068187549717032e-10
ENSG00000124813,RUNX2,7.827638159832584,8.185038668971456e-13,4.139719724143463e-09
ENSG00000171812,COL8A2,7.777464193303017,1.0953945374123155e-12,4.748691804616303e-09
ENSG00000163817,SLC6A20,7.7770426230733545,1.869220294027842e-12,7.090419880321113e-09
ENSG00000237424,FOXD2-AS1,7.5672740905301294,4.006168864497303e-12,1.3507911151337242e-08
ENSG00000186564,FOXD2,7.518280172388483,5.786949520721294e-12,1.5964615468709854e-08
ENSG00000103534,TMC5,7.476299331593535,5.372151846168186e-12,1.5964615468709854e-08
ENSG00000159216,RUNX1,7.467378662191759,8.656386380229225e-12,2.189055842453634e-08
ENSG00000122641,INHBA,7.2932951447476375,1.2632418209015691e-11,2.948795099775309e-08
ENSG00000109625,CPZ,7.274899440216363,1.6762493057809892e-11,3.39116409554866e-08
ENSG00000074047,GLI2,7.259140349391461,1.6461525896742255e-11,3.39116409554866e-08
ENSG00000138685,FGF2,7.22879818736878,2.5569869372206477e-11,4.849645349806111e-08
ENSG00000111052,LIN7A,7.198277507452137,2.7907223181151646e-11,4.981603497971928e-08
ENSG00000259436,POU2F2-AS2,7.228008168722281,3.174889086316914e-11,5.352510234076282e-08
ENSG00000103472,RRN3P2,7.079870157636779,4.372377633529717e-11,6.367632090499495e-08
ENSG00000079931,MOXD1,7.1078008421016525,4.4065205925159627e-11,6.367632090499495e-08
ENSG00000151789,ZNF385D,7.072490148152512,4.364200440049098e-11,6.367632090499495e-08
ENSG00000228672,PROB1,7.123818790260888,5.41173979581733e-11,6.842693993494696e-08
ENSG00000253159,PCDHGA12,7.168730452053409,5.309921840928228e-11,6.842693993494696e-08
ENSG00000183496,MEX3B,7.108968266848673,5.3852314424832555e-11,6.842693993494696e-08
ENSG00000105639,JAK3,7.131908825873676,6.026541530647247e-11,7.132712875830854e-08
ENSG00000112559,MDFI,7.048052834819499,6.286800958333256e-11,7.132712875830854e-08
ENSG00000117152,RGS4,7.0440718183083915,6.346248192428427e-11,7.132712875830854e-08
ENSG00000175264,CHST1,7.0705597255211945,6.878344440018074e-11,7.197594495751327e-08
ENSG00000157510,AFAP1L1,7.087313466100556,6.730376607939404e-11,7.197594495751327e-08
ENSG00000182463,TSHZ2,7.005753587857334,9.059075992756499e-11,9.163557335872957e-08
ENSG00000164949,GEM,6.942520069794677,1.1562308326852185e-10,1.1063631934910564e-07
ENSG00000138061,CYP1B1,6.930712812029792,1.1828553172412432e-10,1.1063631934910564e-07
ENSG00000185112,FAM43A,6.982580290236156,1.2221647546737034e-10,1.1063631934910564e-07
ENSG00000161958,FGF11,6.926593510653365,1.2395817761384011e-10,1.1063631934910564e-07
ENSG00000158292,GPR153,6.971529515942773,1.295335099427808e-10,1.123092540778179e-07
ENSG00000223764,LINC02593,6.861903756895385,1.4224531718275525e-10,1.199048998674414e-07
ENSG00000136378,ADAMTS7,6.869778712570367,1.4753386782886017e-10,1.205239815930121e-07
ENSG00000118473,SGIP1,6.864276489398043,1.5092306401286694e-10,1.205239815930121e-07
ENSG00000173762,CD7,6.8642424493612975,1.6620478763937655e-10,1.2932437142832105e-07
ENSG00000204682,MIR1915HG,6.85012907722948,1.8031854235417628e-10,1.3602023706956841e-07
ENSG00000171502,COL24A1,6.8328340237057645,1.8377478810559232e-10,1.3602023706956841e-07
ENSG00000019991,HGF,6.868113349992193,2.1639048773772234e-10,1.4339152576885764e-07
ENSG00000234062,TM9SF5P,6.9003534236038035,2.1511682500339826e-10,1.4339152576885764e-07
ENSG00000113532,ST8SIA4,6.8117300264554865,2.2195857279309227e-10,1.4339152576885764e-07
ENSG00000090104,RGS1,6.819901994250594,2.2204200838061864e-10,1.4339152576885764e-07
