Ensembl_id,HGNC_symbol,T-statistic,P-value,Adjusted P-value
ENSG00000172260,NEGR1,11.07466898216452,7.356127185457109e-22,2.3112951616706238e-17
ENSG00000182916,TCEAL7,10.916269203707857,6.098743266924975e-21,6.387417114892757e-17
ENSG00000165424,ZCCHC24,10.86667635953748,4.620301096032925e-21,6.387417114892757e-17
ENSG00000188070,ZFTA,10.676364501392623,1.473975096832327e-20,7.718716257078619e-17
ENSG00000115252,PDE1A,10.680857357029412,1.3527032263488025e-20,7.718716257078619e-17
ENSG00000117519,CNN3,10.96820907449804,1.3169887128522658e-20,7.718716257078619e-17
ENSG00000073712,FERMT2,10.60832387863831,4.2064391321946264e-20,1.6352627397098937e-16
ENSG00000144857,BOC,10.496056464796307,5.2045281340225767e-20,1.6352627397098937e-16
ENSG00000182534,MXRA7,10.428496851575915,4.992428146082703e-20,1.6352627397098937e-16
ENSG00000255642,PABPC1P4,10.518024499388948,4.811512248374204e-20,1.6352627397098937e-16
ENSG00000140092,FBLN5,10.161908975621419,2.381716474089884e-19,6.236127634658679e-16
ENSG00000148516,ZEB1,10.357552696162442,2.2274505288853316e-19,6.236127634658679e-16
ENSG00000152583,SPARCL1,10.168196461281873,2.9605071386248057e-19,7.155318022737799e-16
ENSG00000132840,BHMT2,9.912048321733257,1.1736309934593782e-18,2.5003499526644086e-15
ENSG00000162944,RFTN2,10.031969149608823,1.2521219493763613e-18,2.5003499526644086e-15
ENSG00000007237,GAS7,9.992534565887157,1.3528309737522262e-18,2.5003499526644086e-15
ENSG00000158186,MRAS,10.16953559656295,1.3185252751927577e-18,2.5003499526644086e-15
ENSG00000122707,RECK,9.987417158862224,1.9801628833192172e-18,3.2745640944152527e-15
ENSG00000149557,FEZ1,9.999272628122776,1.9727965648347878e-18,3.2745640944152527e-15
ENSG00000113657,DPYSL3,10.046129172846348,2.5640584976891617e-18,3.836319904637784e-15
ENSG00000230630,DNM3OS,9.852769438329755,2.47843639082707e-18,3.836319904637784e-15
ENSG00000144642,RBMS3,9.834569595493116,3.864994906099075e-18,4.857525597985318e-15
ENSG00000107186,MPDZ,9.922137809932874,3.831900388758738e-18,4.857525597985318e-15
ENSG00000166963,MAP1A,9.82367923552561,3.597023182906447e-18,4.857525597985318e-15
ENSG00000174099,MSRB3,9.802456779980902,3.4607663029644798e-18,4.857525597985318e-15
ENSG00000050165,DKK3,9.818064307415927,4.308296684377506e-18,5.104903733391328e-15
