Ensembl_id,HGNC_symbol,T-statistic,P-value,Adjusted P-value
ENSG00000272168,CASC15,12.113892764459154,5.473638938110342e-21,1.6701167127962276e-16
ENSG00000119865,CNRIP1,11.250732006034116,2.773271111940756e-19,4.2309024083768175e-15
ENSG00000234456,MAGI2-AS3,11.156780783577814,4.493396633995931e-19,4.570083936549461e-15
ENSG00000134874,DZIP1,10.977639240905216,1.1578923072256117e-18,8.832402519516966e-15
ENSG00000136854,STXBP1,10.5774853297889,8.093711628378327e-18,4.9391065841015903e-14
ENSG00000106538,RARRES2,10.495448360645184,1.4241436441833767e-17,6.207638695903313e-14
ENSG00000142173,COL6A2,10.518448590558348,1.2818024237340402e-17,6.207638695903313e-14
ENSG00000168679,SLC16A4,10.352147535024553,3.678327782439267e-17,1.247034858864299e-13
ENSG00000115306,SPTBN1,10.289081483046699,3.384566265331532e-17,1.247034858864299e-13
ENSG00000204262,COL5A2,10.103700891606465,8.438147511718595e-17,2.3405886988868885e-13
ENSG00000130635,COL5A1,10.12316273059912,7.671423349862142e-17,2.3405886988868885e-13
ENSG00000172638,EFEMP2,10.036999001034419,1.2569581662326225e-16,3.196025630674148e-13
ENSG00000168899,VAMP5,9.99490913367362,1.415321455845768e-16,3.3218683277512365e-13
ENSG00000026025,VIM,9.872971493448249,3.779862227925248e-16,7.763415338925183e-13
ENSG00000106624,AEBP1,9.85154749188044,4.15636088050686e-16,7.763415338925183e-13
ENSG00000142156,COL6A1,9.830246132217558,4.3172326904378693e-16,7.763415338925183e-13
ENSG00000142227,EMP3,9.769390318810663,4.3254477176759343e-16,7.763415338925183e-13
ENSG00000165424,ZCCHC24,9.753064563691218,4.604841441424398e-16,7.805717892263403e-13
ENSG00000149633,KIAA1755,9.669416055313377,7.100153208470437e-16,1.1402098668255263e-12
ENSG00000145362,ANK2,9.640263694160986,8.025933575583123e-16,1.2244364262909613e-12
ENSG00000170390,DCLK2,9.654592342143806,9.351065033367544e-16,1.284797523929343e-12
ENSG00000123384,LRP1,9.61834189032709,9.684826642099793e-16,1.284797523929343e-12
ENSG00000172986,GXYLT2,9.619400093616004,9.636881204385412e-16,1.284797523929343e-12
ENSG00000237187,NR2F1-AS1,9.67431737295981,1.269754955109272e-15,1.614281799595588e-12
ENSG00000183621,ZNF438,9.486405576124868,1.9869159845517727e-15,2.4249912208257478e-12
ENSG00000111450,STX2,9.376789845942959,2.981831637621774e-15,3.2869280530743554e-12
ENSG00000145147,SLIT2,9.397743295724847,2.837994878777451e-15,3.2869280530743554e-12
ENSG00000026652,AGPAT4,9.42234703365967,3.01632097162041e-15,3.2869280530743554e-12
ENSG00000237036,ZEB1-AS1,9.401042692705376,3.773019473893276e-15,3.9697369030148845e-12
ENSG00000180611,MB21D2,9.344616784002984,4.180504369903794e-15,4.251851644483486e-12
ENSG00000138080,EMILIN1,9.273126356149994,5.128841761334753e-15,5.048103865220838e-12
ENSG00000162733,DDR2,9.429590267357419,6.4748880596742345e-15,6.173805764899383e-12
ENSG00000149557,FEZ1,9.226423239135368,7.376779229990649e-15,6.820614783802263e-12
ENSG00000079819,EPB41L2,9.19700567809187,1.0591318547844117e-14,9.504773868582933e-12
ENSG00000121297,TSHZ3,9.118885791776286,1.1124124864873934e-14,9.697694225058099e-12
ENSG00000100097,LGALS1,9.103102676187802,1.1827607256120718e-14,1.0024554238854315e-11
ENSG00000183087,GAS6,9.094560850149195,1.3570913562819539e-14,1.1035785913732782e-11
ENSG00000187955,COL14A1,9.134912084871742,1.4105782991464949e-14,1.1035785913732782e-11
ENSG00000107863,ARHGAP21,9.105109887049695,1.3846277388554895e-14,1.1035785913732782e-11
ENSG00000084636,COL16A1,9.003056150753581,1.9634055824233122e-14,1.4976857782725026e-11
ENSG00000136732,GYPC,9.00645800786462,2.1294548458138088e-14,1.584729908670023e-11
ENSG00000126785,RHOJ,8.959736001971182,2.36164155404798e-14,1.715676359455047e-11
ENSG00000113721,PDGFRB,8.905384991677117,3.2807267336331895e-14,2.275034865832179e-11
ENSG00000149131,SERPING1,8.965678550391265,3.233439783873255e-14,2.275034865832179e-11
ENSG00000188906,LRRK2,8.879417581618176,3.516481791964605e-14,2.384330943031645e-11
ENSG00000169554,ZEB2,8.892621118627126,3.744344637371165e-14,2.430796671818489e-11
ENSG00000136546,SCN7A,8.881963822498735,3.732994137213839e-14,2.430796671818489e-11
ENSG00000131459,GFPT2,8.85034262372357,4.076832911605391e-14,2.5699639170095286e-11
ENSG00000114698,PLSCR4,8.850764488614747,4.127170684762287e-14,2.5699639170095286e-11
ENSG00000087303,NID2,8.86423444560553,4.754978429866473e-14,2.9016780370417168e-11
ENSG00000035862,TIMP2,8.99964700573804,5.2319671074288906e-14,3.130152556507261e-11
ENSG00000126603,GLIS2,8.797553147386473,5.801721265729173e-14,3.404271524229395e-11
ENSG00000120820,GLT8D2,8.742124320680707,7.369015882939679e-14,4.2423285400048206e-11
ENSG00000099139,PCSK5,8.714323081869226,8.560680367454043e-14,4.837101469847366e-11
ENSG00000204084,INPP5B,8.70369318593978,9.088738924014086e-14,5.042101855445778e-11
ENSG00000149451,ADAM33,8.686635607721447,9.383407637055248e-14,5.112616675389817e-11
ENSG00000127603,MACF1,8.66405041290881,1.0219372629154941e-13,5.470412239662729e-11
ENSG00000125249,RAP2A,8.655587426476083,1.0925403188774073e-13,5.7475155533771474e-11
ENSG00000166676,TVP23A,8.707109121489125,1.1236889671305126e-13,5.8111860618790165e-11
ENSG00000205542,TMSB4X,8.675763699105074,1.1875136092172993e-13,6.038902540739706e-11
ENSG00000259658,UBE2Q2P13,8.949976087134774,1.2466237141376108e-13,6.15866974092876e-11
ENSG00000134030,CTIF,8.620090994866198,1.2716183589358674e-13,6.15866974092876e-11
ENSG00000129675,ARHGEF6,8.624675489614495,1.2715292752769443e-13,6.15866974092876e-11
ENSG00000173517,PEAK1,8.82314827015396,1.3307809450476072e-13,6.344498155514467e-11
ENSG00000271474,UNC5C-AS1,8.61356811002689,1.3611476489528313e-13,6.389436471515197e-11
ENSG00000112769,LAMA4,8.625381978952742,1.458117669336019e-13,6.740922170724335e-11
ENSG00000230630,DNM3OS,8.613819711558198,1.5168955634448807e-13,6.907987676392567e-11
ENSG00000115318,LOXL3,8.58905893111166,1.5619865765333063e-13,7.008725650468271e-11
ENSG00000151917,BEND6,8.574769182633721,1.5972967652131228e-13,7.063292594229392e-11
ENSG00000100968,NFATC4,8.561829280226458,1.6963324780761987e-13,7.394070938722997e-11
ENSG00000120913,PDLIM2,8.554372666791883,1.805121357117891e-13,7.757445471602971e-11
ENSG00000185070,FLRT2,8.551250708187355,1.9107815660119149e-13,7.814776680343531e-11
ENSG00000118971,CCND2,8.536752999634103,1.9209106286895805e-13,7.814776680343531e-11
ENSG00000166839,ANKDD1A,8.60215104744693,1.8762441177365758e-13,7.814776680343531e-11
ENSG00000148516,ZEB1,8.543760861048089,1.8913557875779192e-13,7.814776680343531e-11
ENSG00000122870,BICC1,8.644065506042335,2.0604227273470107e-13,8.021232354803824e-11
ENSG00000033327,GAB2,8.539505627006301,2.01128809460922e-13,8.021232354803824e-11
ENSG00000122591,HYCC1,8.537407098050158,2.0574960857557198e-13,8.021232354803824e-11
ENSG00000166033,HTRA1,8.684585174219475,2.0894745399363375e-13,8.021232354803824e-11
ENSG00000140931,CMTM3,8.57713589649255,2.1031023478772483e-13,8.021232354803824e-11
ENSG00000164692,COL1A2,8.516398303576864,2.1355713145630774e-13,8.044512586413409e-11
ENSG00000148180,GSN,8.52646538889828,2.2803832378472133e-13,8.485250408926118e-11
ENSG00000214063,TSPAN4,8.506129545502079,2.459136815841104e-13,9.04014247288479e-11
ENSG00000077782,FGFR1,8.50223126740351,2.53084158842037e-13,9.192980779271706e-11
ENSG00000110446,SLC15A3,8.499519350256758,2.675030923994262e-13,9.602416888577991e-11
ENSG00000144857,BOC,8.496856518709757,3.085393710719814e-13,1.078228848801035e-10
ENSG00000087245,MMP2,8.439596348840325,3.1097318659704735e-13,1.078228848801035e-10
ENSG00000151892,GFRA1,8.44174554575366,3.0901551551019463e-13,1.078228848801035e-10
ENSG00000135736,CCDC102A,8.436342029872636,3.1952761862969403e-13,1.0851700387695144e-10
ENSG00000182326,C1S,8.506619709801855,3.200881734702946e-13,1.0851700387695144e-10
ENSG00000226419,SLC16A1-AS1,8.53472984064898,3.3475891692905307e-13,1.1224356124548645e-10
ENSG00000011465,DCN,8.435145612084641,3.4615298802727983e-13,1.135679566740684e-10
ENSG00000146966,DENND2A,8.41871052762397,3.45895808537161e-13,1.135679566740684e-10
ENSG00000141756,FKBP10,8.418742778879023,3.601302902994508e-13,1.168967597618813e-10
ENSG00000164318,EGFLAM,8.421385614097636,3.8421701842814344e-13,1.2227429700516455e-10
ENSG00000187109,NAP1L1,8.398799267711416,3.8471199896748157e-13,1.2227429700516455e-10
ENSG00000196839,ADA,8.392304659478926,3.9400085151985837e-13,1.2393560805746306e-10
ENSG00000160408,ST6GALNAC6,8.413010958262582,4.020318159387454e-13,1.2517137518288776e-10
ENSG00000167123,CERCAM,8.380930350669672,4.158589774824978e-13,1.2816857697925225e-10
ENSG00000118292,C1orf54,8.386942152078193,4.273239303913709e-13,1.303850776410151e-10
ENSG00000154240,CEP112,8.354403000784973,4.775444672637903e-13,1.4285134103090949e-10
ENSG00000205763,RP9P,8.380331583784267,4.774215093672287e-13,1.4285134103090949e-10
ENSG00000166482,MFAP4,8.495382757696913,4.889357145737151e-13,1.4483889828226405e-10
ENSG00000154721,JAM2,8.368493287436777,4.939049156784026e-13,1.4490410372287904e-10
