Ensembl_id,HGNC_symbol,T-statistic,P-value,Adjusted P-value
ENSG00000119865,CNRIP1,23.541552689378047,7.586583707389788e-81,2.5537958075815506e-76
ENSG00000109099,PMP22,22.85088600796942,2.5637387476298152e-78,4.3150286861357424e-74
ENSG00000184785,SMIM10,22.988776669083133,1.0131142283215648e-76,1.1367817051253504e-72
ENSG00000089472,HEPH,22.65634212055471,1.5999759515970204e-76,1.3464597620664725e-72
ENSG00000182916,TCEAL7,22.492909897841844,3.9686696043531794e-76,2.6718671244347344e-72
ENSG00000162614,NEXN,22.537285080676895,1.1477835113227501e-75,6.439448093024402e-72
ENSG00000174099,MSRB3,22.70483977809284,4.0501815926651634e-75,1.947674468175639e-71
ENSG00000244274,DBNDD2,22.12335329528982,4.151732038160023e-74,1.746945048356784e-70
ENSG00000073712,FERMT2,21.97264718848254,5.44483037955679e-74,2.0364875581848963e-70
ENSG00000197380,DACT3,22.21220099053018,7.282867364286467e-74,2.4515588121661107e-70
ENSG00000151617,EDNRA,21.95055881752908,3.7243907538371716e-73,1.1397312868696989e-69
ENSG00000121361,KCNJ8,21.99362445937442,8.683557100005411e-73,2.280051975836205e-69
ENSG00000035862,TIMP2,21.716189454085022,8.805381642763551e-73,2.280051975836205e-69
ENSG00000105137,SYDE1,21.725533012918966,1.15252180555571e-72,2.7711563584725937e-69
ENSG00000197256,KANK2,21.552122911462284,3.293447478883161e-72,7.390935268944331e-69
ENSG00000177469,CAVIN1,21.69330026192219,4.3639126855388145e-72,9.181126801287974e-69
ENSG00000105270,CLIP3,21.45488156267333,6.674735788150708e-72,1.32167621235723e-68
ENSG00000072952,IRAG1,21.73919019385483,7.1845623602766e-72,1.3435929898423942e-68
ENSG00000103710,RASL12,21.557128178757154,1.464678571562548e-71,2.5949478987336047e-68
ENSG00000138735,PDE5A,21.415714799552326,2.803149337206766e-71,4.493314904240674e-68
ENSG00000113657,DPYSL3,21.509550520872335,2.736029818345665e-71,4.493314904240674e-68
ENSG00000131471,AOC3,21.653528865976064,3.561995777983243e-71,5.45017735811236e-68
ENSG00000234456,MAGI2-AS3,21.825507502355038,4.390408639068898e-71,6.425649374275532e-68
ENSG00000152583,SPARCL1,21.52066804873884,6.996164375735046e-71,9.81270355066638e-68
ENSG00000112769,LAMA4,21.241951407234602,1.1258461278045647e-70,1.5159292941662904e-67
ENSG00000241644,INMT,21.472750055069525,1.1840882506130535e-70,1.5330299496975616e-67
ENSG00000185532,PRKG1,21.203124768364738,1.2408710047798274e-70,1.5470444356629093e-67
ENSG00000188921,HACD4,21.331482890230326,3.429382825991713e-70,4.122853024590466e-67
ENSG00000024422,EHD2,21.17319941350161,6.525034194379406e-70,7.573989691420674e-67
ENSG00000107796,ACTA2,21.343497876691902,8.718604700535647e-70,9.782855714314365e-67
