Ensembl_id,HGNC_symbol,T-statistic,P-value,Adjusted P-value
ENSG00000166147,FBN1,37.081456418283956,9.62984159484488e-172,3.2258043374411378e-167
ENSG00000145730,PAM,36.416931854880374,1.971936521964815e-171,3.3027964806388685e-167
ENSG00000234456,MAGI2-AS3,36.50346525832581,8.684191547039074e-168,9.69676828142383e-164
ENSG00000142173,COL6A2,35.63506139787756,1.7270699472218867e-167,1.446334727300969e-163
ENSG00000073712,FERMT2,36.19888679521557,4.1703167885634136e-167,2.7939454356659443e-163
ENSG00000119865,CNRIP1,35.4092237107781,1.4489346588449117e-166,8.089402200331142e-163
ENSG00000166086,JAM3,35.667361420609176,1.8464319204953716e-166,8.83596806753628e-163
ENSG00000162627,SNX7,35.776374662917455,8.006601868597691e-166,3.352564367428568e-162
ENSG00000122870,BICC1,35.10078238161485,1.919367179222683e-163,7.143884641066826e-160
ENSG00000163430,FSTL1,37.08878092294182,1.422347740087112e-162,4.764580459743807e-159
ENSG00000138080,EMILIN1,34.73766146841961,7.415400600082369e-160,2.2581917209232654e-156
ENSG00000142156,COL6A1,35.395995647350084,1.810873426924106e-159,5.055053171258642e-156
ENSG00000153071,DAB2,35.04942045440288,2.2614495289591722e-159,5.827233563159566e-156
ENSG00000172638,EFEMP2,36.27327768402102,3.2105717640174304e-159,7.68198092507542e-156
ENSG00000172716,SLFN11,34.54441518846949,7.652227896998037e-158,1.7088955339576015e-154
ENSG00000127990,SGCE,34.74900441016331,1.1046754698088756e-157,2.312776180478607e-154
ENSG00000163359,COL6A3,35.77832080400008,2.7181705596783036e-157,5.2259660856799194e-154
ENSG00000169902,TPST1,36.60261208472273,2.8081494280923802e-157,5.2259660856799194e-154
ENSG00000196371,FUT4,34.50849228157465,9.906226371218519e-157,1.7465198472793575e-153
ENSG00000115935,WIPF1,33.78355347184715,1.1475793969521581e-156,1.9220807319551694e-153
ENSG00000063587,ZNF275,33.99746853760466,4.86130170322536e-156,7.75447068831634e-153
ENSG00000120820,GLT8D2,34.56339775419931,1.0802594768558866e-155,1.6448423616235678e-152
ENSG00000087116,ADAMTS2,35.540494925422294,1.6409668149461128e-155,2.3899611463941255e-152
ENSG00000121297,TSHZ3,33.50325837597853,4.895289509945244e-155,6.559296320165832e-152
ENSG00000143515,ATP8B2,33.54930263614614,4.710471225893161e-155,6.559296320165832e-152
ENSG00000184014,DENND5A,33.57403975968773,9.863064215976103e-155,1.2707420196414136e-151
ENSG00000003436,TFPI,33.35491785308851,4.75254779722072e-154,5.8963276337518395e-151
