Ensembl_id,HGNC_symbol,T-statistic,P-value,Adjusted P-value
ENSG00000112769,LAMA4,9.393466551707023,5.235515114996818e-15,1.5217942502465203e-10
ENSG00000129244,ATP1B2,9.259403890540083,1.0069438564457886e-14,1.5217942502465203e-10
ENSG00000138685,FGF2,8.95371172496803,2.3041205879460942e-14,2.321478296375288e-10
ENSG00000150893,FREM2,8.97419503243874,3.2592210285810904e-14,2.4628303702473013e-10
ENSG00000148516,ZEB1,8.525652168312808,1.790061345072447e-13,1.0821278843231957e-09
ENSG00000106278,PTPRZ1,8.75529213881945,3.2727529521288664e-13,1.648703845517452e-09
ENSG00000092096,SLC22A17,8.318684504384827,6.663080424415709e-13,2.8771181272627033e-09
ENSG00000100505,TRIM9,8.264044429935703,7.791398346885598e-13,2.895919316213295e-09
ENSG00000187678,SPRY4,8.214448347717346,8.90367892098346e-13,2.895919316213295e-09
ENSG00000186469,GNG2,8.195794267101233,9.580888361719364e-13,2.895919316213295e-09
ENSG00000126785,RHOJ,8.166939205040928,1.1848353127522904e-12,3.2557120148409755e-09
ENSG00000154262,ABCA6,8.266640103331335,3.0112282921315806e-12,7.001337412151474e-09
ENSG00000136161,RCBTB2,7.969634085127577,2.9529213469886145e-12,7.001337412151474e-09
ENSG00000175309,PHYKPL,8.006912545210353,3.4062576640264176e-12,7.354110296633035e-09
ENSG00000113369,ARRDC3,7.929220970383664,3.8285679550492164e-12,7.714819667287841e-09
ENSG00000162944,RFTN2,7.784035845608583,7.172395961749894e-12,1.354955252124077e-08
ENSG00000184205,TSPYL2,7.681891128250242,1.2576904084291625e-11,2.2361735461870506e-08
ENSG00000144642,RBMS3,7.682844433956958,1.7054707393493955e-11,2.5774779283787414e-08
ENSG00000205403,CFI,7.712448702043031,1.6128233616145714e-11,2.5774779283787414e-08
ENSG00000163873,GRIK3,7.675654250311216,1.6545486533330848e-11,2.5774779283787414e-08
ENSG00000197977,ELOVL2,7.519383310005318,2.6255805996777208e-11,3.65800425554854e-08
ENSG00000131773,KHDRBS3,7.5372127113535665,2.6624791114294935e-11,3.65800425554854e-08
ENSG00000256422,LINC02552,7.463765607619555,3.598010653103795e-11,4.5313945833631374e-08
ENSG00000156475,PPP2R2B,7.480973777675255,3.4574511020274374e-11,4.5313945833631374e-08
ENSG00000104332,SFRP1,7.387227331748712,5.6770304450005526e-11,6.59976623963795e-08
ENSG00000137460,FHDC1,7.530351121781092,5.553181649102741e-11,6.59976623963795e-08
ENSG00000126562,WNK4,7.332199173103608,6.367613787034962e-11,7.128425715811806e-08
ENSG00000259295,CSPG4P12,7.295374235414729,7.505199058481326e-11,8.101862383630591e-08
ENSG00000005206,SPPL2B,7.327611745110437,8.001362760992324e-11,8.339627269439792e-08
ENSG00000156103,MMP16,7.319381607509248,8.614727317954449e-11,8.679624930416373e-08
ENSG00000165092,ALDH1A1,7.327427739335108,9.011972559478631e-11,8.786963954283906e-08
ENSG00000028528,SNX1,7.22240034267284,1.0729237461616141e-10,1.0134435359837796e-07
ENSG00000169129,AFAP1L2,7.17290848480962,1.3529096779865886e-10,1.1749411726386059e-07
ENSG00000182700,IGIP,7.253532812233637,1.3605154847598493e-10,1.1749411726386059e-07
ENSG00000153993,SEMA3D,7.17901235309767,1.3193728268603437e-10,1.1749411726386059e-07
ENSG00000137642,SORL1,7.163559983442112,1.4293412154285316e-10,1.2000907660428554e-07
ENSG00000147408,CSGALNACT1,7.206845938087295,1.8487369459573282e-10,1.5042372131027756e-07
ENSG00000175785,PRIMA1,7.072441974436507,2.2394850324100079e-10,1.5042372131027756e-07
ENSG00000185432,TMT1A,7.094720799127631,2.0083689900836983e-10,1.5042372131027756e-07
ENSG00000072134,EPN2,7.124955552987655,2.149312741870086e-10,1.5042372131027756e-07
ENSG00000102313,ITIH6,7.090658711861622,2.0108173725284332e-10,1.5042372131027756e-07
ENSG00000153902,LGI4,7.074336574936514,2.206342523798654e-10,1.5042372131027756e-07
ENSG00000213949,ITGA1,7.105811704032734,2.0799193120005447e-10,1.5042372131027756e-07
ENSG00000171608,PIK3CD,-7.096916538907424,2.096154375862932e-10,1.5042372131027756e-07
ENSG00000164106,SCRG1,7.085559408228269,2.1087909204112886e-10,1.5042372131027756e-07
ENSG00000158352,SHROOM4,7.165380338187599,2.390732225647893e-10,1.5709189620094177e-07
ENSG00000146215,CRIP3,7.340551427134841,3.154731768348224e-10,2.0288281368104981e-07
ENSG00000019144,PHLDB1,6.969971271647778,3.7720947048734504e-10,2.3753194697813523e-07
ENSG00000197461,PDGFA,6.993755515842933,4.2015127924288356e-10,2.591733176815387e-07
ENSG00000134343,ANO3,6.892229322843371,5.220139381015789e-10,3.155678658611665e-07
ENSG00000243927,MRPS6,6.9145482837923185,5.474494796920668e-10,3.2445505829749825e-07
ENSG00000102755,FLT1,6.869804121659455,5.86944611629372e-10,3.4117284290594993e-07
ENSG00000161048,NAPEPLD,6.948813018827212,6.318565261759217e-10,3.60348969060253e-07
ENSG00000069424,KCNAB2,-6.834332562551274,6.805865802281876e-10,3.809520365551333e-07
ENSG00000141338,ABCA8,6.855178296955568,7.303478914358593e-10,4.013726430280051e-07
ENSG00000247400,DNAJC3-DT,6.879346793019618,8.227162359796306e-10,4.4003347783182364e-07
ENSG00000103489,XYLT1,6.7948611429100145,8.298123548075811e-10,4.4003347783182364e-07
ENSG00000204403,CASP12,6.800700338167737,8.480472306266215e-10,4.419495791882804e-07
ENSG00000271334,LINC02104,6.836719137253714,9.757347931287672e-10,4.998738958832223e-07
ENSG00000166341,DCHS1,6.774170591072919,1.0087846958869742e-09,5.081921036313281e-07
ENSG00000278175,GLIDR,6.732201579258489,1.153633049754331e-09,5.716346321618756e-07
ENSG00000104044,OCA2,-6.720738503133022,1.2857482550789153e-09,6.227561894067293e-07
ENSG00000084207,GSTP1,-6.7685283411749095,1.2980096583280602e-09,6.227561894067293e-07
ENSG00000186812,ZNF397,6.7231527856362385,1.3387489413455976e-09,6.322660234548756e-07
ENSG00000198743,SLC5A3,6.677255568159614,1.4499633690726405e-09,6.64039284751358e-07
ENSG00000136156,ITM2B,6.771880923812713,1.4370146058484254e-09,6.64039284751358e-07
ENSG00000151320,AKAP6,6.6559299493836965,1.7651940199554562e-09,7.963396186145317e-07
ENSG00000113621,TXNDC15,6.673565947459333,1.8488403189338008e-09,8.218095217660743e-07
ENSG00000168621,GDNF,6.643519567247939,1.9019332945056766e-09,8.331570399960663e-07
ENSG00000248587,GDNF-AS1,6.7027640294933715,1.998089496760191e-09,8.627750447010505e-07
ENSG00000140836,ZFHX3,6.662224909644951,2.060408927600909e-09,8.77153806276973e-07
ENSG00000185942,NKAIN3,6.598436201366503,2.0987388274349453e-09,8.810622194173424e-07
ENSG00000111341,MGP,6.62787739033179,2.1640313876078874e-09,8.96027571532e-07
ENSG00000272887,CSPG4P5,6.670652332537239,2.3104642383390968e-09,9.437309738923993e-07
ENSG00000188629,ZNF177,6.639785920068325,2.3659248736131746e-09,9.534992697310908e-07
ENSG00000214106,PAXIP1-AS2,6.6746327628158655,2.43017454979816e-09,9.665059992394628e-07
ENSG00000082196,C1QTNF3,6.728647946738589,2.49121267393287e-09,9.779142114583759e-07
ENSG00000172020,GAP43,6.557231034384103,2.5239659190758014e-09,9.78069152179297e-07
ENSG00000237036,ZEB1-AS1,6.560771716713048,2.673894883183624e-09,9.97791935050719e-07
ENSG00000143341,HMCN1,6.551887836617835,2.664483382314946e-09,9.97791935050719e-07
ENSG00000133110,POSTN,6.54719552981438,2.637401443248034e-09,9.97791935050719e-07
ENSG00000114698,PLSCR4,6.533747778780876,2.8007982701363603e-09,1.0324015672334344e-06
ENSG00000129675,ARHGEF6,6.522242996553963,3.029451846669765e-09,1.103231464065546e-06
ENSG00000091879,ANGPT2,6.644615261822951,3.099567973777328e-09,1.1071858308863552e-06
ENSG00000125124,BBS2,6.601755953712994,3.1135709529987493e-09,1.1071858308863552e-06
ENSG00000176204,LRRTM4,6.558654057310159,3.2186755298558063e-09,1.1312521693653673e-06
ENSG00000109927,TECTA,6.523534711195724,3.2819874556132896e-09,1.1402454348662906e-06
ENSG00000185305,ARL15,6.517984981767261,3.3817272289534783e-09,1.1615464457084982e-06
ENSG00000164414,SLC35A1,6.58664212788851,3.605952892664101e-09,1.2229061140559356e-06
ENSG00000134352,IL6ST,6.51147204732789,3.641287311090922e-09,1.2229061140559356e-06
ENSG00000139926,FRMD6,6.4826406389195865,4.0589860288664385e-09,1.348207820972714e-06
ENSG00000150907,FOXO1,6.578640245525626,4.235743649938065e-09,1.3720453779161169e-06
ENSG00000230314,ELOVL2-AS1,6.4432843050032,4.305333400364096e-09,1.3720453779161169e-06
ENSG00000156265,MAP3K7CL,6.471950470770404,4.3123241878525474e-09,1.3720453779161169e-06
ENSG00000176697,BDNF,6.506065929877296,4.232620656267688e-09,1.3720453779161169e-06
ENSG00000126500,FLRT1,6.482852635193841,4.377544434798208e-09,1.378288105064694e-06
ENSG00000227544,LINC03013,6.484305072325321,4.537674318086617e-09,1.413976741633877e-06
ENSG00000182224,CYB5D1,6.517697061311422,4.678731050626181e-09,1.4430543340431321e-06
ENSG00000154274,C4orf19,6.4198370668647184,4.791703614965513e-09,1.4629700350095717e-06
ENSG00000162599,NFIA,6.415455072507942,4.879111386940194e-09,1.474760207816543e-06
ENSG00000118785,SPP1,6.4119161610700015,5.020670281440784e-09,1.4877919600669525e-06
ENSG00000172164,SNTB1,6.550510343318732,4.983345476678089e-09,1.4877919600669525e-06
ENSG00000140943,MBTPS1,6.4653555841565655,5.344071211849313e-09,1.5682514218384205e-06
ENSG00000133835,HSD17B4,6.56126312686578,5.578728703941879e-09,1.5907797528806344e-06
ENSG00000106546,AHR,6.4322049845691724,5.5658402198222885e-09,1.5907797528806344e-06
ENSG00000156313,RPGR,6.508106798661701,5.557324447817584e-09,1.5907797528806344e-06
ENSG00000149212,SESN3,6.432511029143243,5.660541179533433e-09,1.5917085290057006e-06
ENSG00000139597,N4BP2L1,6.404347617686195,5.6873063300673485e-09,1.5917085290057006e-06
ENSG00000183722,LHFPL6,6.4962924986589226,5.9319016508684485e-09,1.6449326541206397e-06
ENSG00000033170,FUT8,6.509887121771689,6.243693974900511e-09,1.7156535825940258e-06
ENSG00000132549,VPS13B,6.420828714588765,6.648387826799318e-09,1.7659850515672762e-06
ENSG00000198948,MFAP3L,6.351237584088175,6.585633302184119e-09,1.7659850515672762e-06
ENSG00000103528,SYT17,6.362856566108134,6.504754914844548e-09,1.7659850515672762e-06
ENSG00000137269,LRRC1,6.401883009620672,6.660566925119747e-09,1.7659850515672762e-06
ENSG00000113240,CLK4,6.366033862239825,6.948280633818054e-09,1.8262498298937782e-06
ENSG00000101665,SMAD7,6.372205777552284,7.132053438612143e-09,1.8583917865128502e-06
ENSG00000157734,SNX22,6.59245842444734,7.328402585025965e-09,1.8932333037179044e-06
ENSG00000186088,GSAP,6.415682868290858,7.490414199133266e-09,1.916243331021382e-06
ENSG00000182621,PLCB1,6.320696893918593,7.544265082761347e-09,1.916243331021382e-06
