Ensembl_id,HGNC_symbol,T-statistic,P-value,Adjusted P-value
ENSG00000172572,PDE3A,18.787978523247737,3.0474789210042465e-43,9.369169194735455e-39
ENSG00000165323,FAT3,18.796822540546298,2.086818710203844e-42,3.207857721325349e-38
ENSG00000110076,NRXN2,17.438867752819185,9.65377791764801e-40,3.781493225156446e-36
ENSG00000170153,RNF150,17.706914878403836,9.583207178219897e-40,3.781493225156446e-36
ENSG00000021645,NRXN3,18.064786596842183,5.756227146322529e-40,3.781493225156446e-36
ENSG00000179300,RTL3,18.06195259926142,7.80177406453493e-40,3.781493225156446e-36
ENSG00000121898,CPXM2,17.578556269479815,5.299783004814515e-40,3.781493225156446e-36
ENSG00000138685,FGF2,17.52161289681192,9.839951145345942e-40,3.781493225156446e-36
ENSG00000113296,THBS4,17.31204124961012,2.599957133133308e-39,8.88145356678338e-36
ENSG00000130822,PNCK,17.929991655757508,5.6452631207347824e-39,1.7355796938387014e-35
ENSG00000147145,LPAR4,17.01495620069634,1.9410345732531425e-38,5.425015174554056e-35
ENSG00000141639,MAPK4,17.39578942040172,4.637075764359014e-38,1.1880188108287793e-34
ENSG00000112186,CAP2,16.91081208543863,1.1153163437429274e-37,2.63763735938712e-34
ENSG00000151320,AKAP6,16.648478156526945,1.6011052733067743e-37,3.5160271801816763e-34
ENSG00000142173,COL6A2,17.7795449421774,4.5066287749300385e-37,9.236786337096607e-34
ENSG00000136267,DGKB,16.40315587058991,6.600571876121658e-37,1.2682998859967766e-33
ENSG00000157064,NMNAT2,16.38210704889577,8.559619512648312e-37,1.5479820135109395e-33
ENSG00000235885,LINC01828,16.41692251852623,1.4552835008672189e-36,2.2269830515574666e-33
ENSG00000128591,FLNC,16.27891219601658,1.521163286582969e-36,2.2269830515574666e-33
ENSG00000171246,NPTX1,16.839989293084326,1.4493321503620207e-36,2.2269830515574666e-33
ENSG00000112183,RBM24,16.344330510987863,1.392378798486643e-36,2.2269830515574666e-33
ENSG00000144730,IL17RD,16.348507036721553,1.6741538533746198e-36,2.339553912188605e-33
ENSG00000165379,LRFN5,16.228266335746106,2.037070987228754e-36,2.7229439317982963e-33
ENSG00000070808,CAMK2A,16.332298854184145,3.1364634176692676e-36,4.0178096380343316e-33
ENSG00000073756,PTGS2,16.142590801853363,3.306481610770785e-36,4.0661788256614806e-33
ENSG00000156103,MMP16,16.150903862154223,5.0529193523053446e-36,5.9748827910490584e-33
ENSG00000080224,EPHA6,16.019630559090395,7.419428522354921e-36,8.44825594412147e-33
ENSG00000123572,NRK,16.43482078691958,8.883877628282913e-36,9.754497635854639e-33
ENSG00000181072,CHRM2,17.009881898057873,1.2804969629180382e-35,1.3122532875984056e-32
ENSG00000260230,FRRS1L,16.140773540574077,1.2499426904810285e-35,1.3122532875984056e-32
ENSG00000118729,CASQ2,15.890787869796586,1.8877401074157872e-35,1.8721510278190632e-32
