Ensembl_id,HGNC_symbol,T-statistic,P-value,Adjusted P-value
ENSG00000111341,MGP,23.92883010870283,1.7010513974696363e-78,6.102181678142827e-74
ENSG00000188783,PRELP,22.3628346327816,9.501690183413642e-73,1.704270659747988e-68
ENSG00000144857,BOC,22.022911479925003,8.4418055199688e-71,1.0094429647261358e-66
ENSG00000234456,MAGI2-AS3,21.580184270964928,2.321440988502079e-69,2.0611077670552334e-65
ENSG00000091986,CCDC80,21.584655796755705,2.8727842208000915e-69,2.0611077670552334e-65
ENSG00000116194,ANGPTL1,21.66122492547235,1.2037402752289672e-68,7.19696248221479e-65
ENSG00000154553,PDLIM3,21.35840480476648,1.7481164444331476e-68,8.958597315878616e-65
ENSG00000113296,THBS4,21.090083829116853,2.5707954429001513e-67,1.1527768115394642e-63
ENSG00000243244,STON1,21.476814174339534,4.198042046005055e-67,1.6732929146259926e-63
ENSG00000174099,MSRB3,21.501551487286083,5.5039654209128084e-67,1.9744375154440516e-63
ENSG00000106809,OGN,20.878210343182765,1.30986393453253e-65,4.271704447589586e-62
ENSG00000182636,NDN,20.361131322384193,3.327271487504223e-64,9.946600839269916e-61
ENSG00000107796,ACTA2,20.88467028807287,8.74400314095513e-64,2.4128740359652567e-60
ENSG00000149591,TAGLN,20.651365420155795,1.2421847256712963e-63,3.1829209045718865e-60
ENSG00000170153,RNF150,20.199208673187904,1.6403318040655675e-63,3.922908187149607e-60
ENSG00000109846,CRYAB,20.361218618442788,2.2524347547728806e-63,5.050099497372971e-60
ENSG00000145147,SLIT2,20.10855883179491,4.2811799173118153e-63,9.03404512786628e-60
ENSG00000104332,SFRP1,20.241610226721956,6.663988899151561e-63,1.3280959654403553e-59
ENSG00000198523,PLN,20.156935628573017,9.034030818055233e-63,1.7056725659794493e-59
ENSG00000174740,PABPC5,20.015739639537383,1.0707970580635404e-62,1.9206351431956692e-59
ENSG00000162733,DDR2,20.06289793162112,1.9064164149487588e-62,3.256613145402706e-59
ENSG00000105270,CLIP3,20.52532143137688,2.4781344901212232e-62,4.0408235710963015e-59
ENSG00000113657,DPYSL3,19.853259231955697,5.798868515361726e-62,9.044470010937879e-59
ENSG00000163431,LMOD1,20.52915163558507,6.6161172679714615e-62,9.889165614747509e-59
ENSG00000241644,INMT,19.72194153850195,3.700557215454251e-61,5.310003559599614e-58
ENSG00000182175,RGMA,19.747116961984823,4.149030255854592e-61,5.724544706471991e-58
